"abbreviation","replacement"
"<>+","◊"
"`void","◌"
"{}+","◌"
"`operator","◍"
"`ubity","◍"
"`ubiety","◍"
"op","◍"
"@@","◍"
"ub","◍"
"(!","◖"
"(!!)","◖◗"
"!)","◗"
"`sin","◠◡"
"`cos","◡◠◡"
"`pointer","☞"
"'#","♮"
"`#","♯"
"`number","♯"
"`num","♯"
"`zap","⚡"
".:+#","⛬"
".'.#","⛬"
"`thus#","⛬"
".v///","✅"
".v/","✓"
"`check","✓"
"`checkmark","✓"
"`Check","✔"
"`Checkmark","✔"
".v//","✔"
"`reject","✗"
".x/","✗"
"`Reject","✘"
".x//","✘"
"`rand","❔"
"`random","❔"
"`?","❔"
"''''#","❛❛❜❜"
"''#","❛❜"
"`Qt","❛❜"
"`Quote","❛❜"
"""""""""#","❝❝❞❞"
"""""#","❝❞"
"`Qts","❝❞"
"`Quotes","❝❞"
"`,","❟"
"`,,","❠"
"!!!","❢"
"`!","❢"
"`portal","❨❩"
"()/>","❪❫↗"
"()//>","❪❫↗"
"()\\>","❪❫↘"
"()\>","❪❫↘"
"()-->","❪❫⟶"
"<>","❮❯"
"<#","❰"
"<>#","❰❱"
">#","❱"
"{#","❴"
"{}#","❴❵"
"}#","❵"
"`--","➖"
"`arrows","➘➙➚ ┈┈‣ ┄┄‣"
"\./","⟇"
"`lcm","⟇"
"/.\","⟑"
"`gcd","⟑"
"[[","⟦"
"[[]]","⟦⟧"
"]]","⟧"
"<>unless","⟨  ¦  ⟩unless    ?"
"<>if","⟨  ╏  ⟩if    ?"
"`choice","⟨  ¦  ⟩if    ?"
"<<","⟪"
"<<>>","⟪⟫"
">>","⟫"
"'(","⟮"
"'()","⟮⟯"
"')","⟯"
"<--","⟵"
"<--()","⟵❪❫"
"-->","⟶"
"<-->","⟷"
"`also","⠇"
":::","⠇"
":.","⠦"
".:","⠴"
"..>","⤑"
"`default","⤺"
"`init","⤺₀"
":%","⦂"
"(|","⦇"
"(||)","⦇⦈"
"|)","⦈"
"<!","⦉"
"<!!>","⦉⦊"
"!>","⦊"
"<.","⦑"
".>","⦒"
"`turtle#","⦗⦘"
"`><","⨝"
"~+","⨤"
"+~","⨦"
",-","⨩"
"-.","⨪"
".-.","⨫"
###
"`smash","⨳"
"`zero","⩇"
"`0","⩇"
"^^+","⩓"
"vv+","⩔"
".~","⩪"
"~.","⩪"
".~.","⩫"
"?<","⩻"
"?>","⩼"
"><","⪥"
"<)","⪦"
"(>","⪧"
"<-","⪪"
"->","⪫"
"<<~","⪻"
"{{","⪻"
"`comment","⪻⪼ = enclosing block comment note"
"`note","⪻⪼"
">>~","⪼"
"}}","⪼"
"(.","⪽"
".)","⪾"
")(","⫗"
")-(","⫘"
"`anchor/","⫝̸"
"`anchor","⫝"
"`<<<<","⫷"
"`>>>>","⫸"
"///","⫻"
"//","⫽"
"()+#","⬤"
".,^","⬩"
",.^","⬩"
"<..","⬸"
"()+","⭘"
"<->","⮀"
"<>+#","⯁"
"`colons","ⵓ⦂ꈯ"
"`and","ⵗ"
"`done","⵰"
"/^","⸍"
"`tbd","⸍⸝"
"'//","⸍⸝"
"/v","⸝"
"'.'v","⸪"
".v","⸪"
"???","⸮"
"`---","⸺"
"'o","。"
"[(#","【"
"[()]#","【】"
")]#","】"
"`turtle","〔〕"
"[(","〖"
"[()]","〖〗"
")]","〗"
"~~","〜"
"`wave","〜"
":%%","ꈯ"
".|.","ꖌ"
"!^","ꜝ"
"OO","Ꝏ"
"00","Ꝏ"
"oo","ꝏ"
"00v","ꝏ"
"`""","Ꞌ"
"`'","ꞌ"
"`glyph","𝔾"
"`Glyph","𝔾"
"`eyes","👀"
"`eye","👁️"
"^||","🠕"
"v||","🠗"
"""?","﹖"
"'!","﹗"
"'?","？"
"`[","［"
"`]","］"
"`^","＾"
"``","｀"
"((","｟"
"(())","｟｠"
"))","｠"
"""o","｡"
"'end","ﾉ"
"'"""," ﾞ"
"`new","￭"
